order_item_id,order_id,product_id,quantity,unit_price,revenue
700001,500001,3035,4.0,6204.48,24817.92
700002,500001,3007,2.0,653.78,1307.56
700003,500001,3144,3.0,2114.83,6344.49
700004,500001,3095,2.0,4171.43,8342.86
700005,500002,3001,1.0,2068.25,2068.25
700006,500002,3020,1.0,1527.0,1527.0
700007,500003,3135,2.0,6197.41,12394.82
700008,500004,3016,1.0,1110.22,1110.22
700009,500005,3085,1.0,1632.2,1632.2
700010,500006,3091,1.0,1058.82,1058.82
700011,500006,3130,2.0,2846.37,5692.74
700012,500007,3116,2.0,4427.69,8855.38
700013,500008,3135,2.0,5713.9,11427.8
700014,500009,3100,1.0,761.69,761.69
700015,500010,3113,2.0,5350.18,10700.36
700016,500010,3092,2.0,3882.14,7764.28
700017,500010,3149,1.0,463.7,463.7
700018,500011,3096,1.0,3219.79,3219.79
700019,500011,3049,1.0,3459.2,3459.2
700020,500012,3062,5.0,1741.1,8705.5
700021,500013,3037,1.0,2140.04,2140.04
700022,500014,3069,4.0,569.44,2277.76
700023,500015,3002,1.0,5514.1,5514.1
700024,500015,3039,3.0,4795.44,14386.32
700025,500015,3132,3.0,1586.94,4760.82
700026,500016,3016,1.0,1086.61,1086.61
700027,500016,3043,1.0,441.5,441.5
700028,500017,3049,2.0,3162.0,6324.0
700029,500017,3002,1.0,4898.86,4898.86
700030,500018,3124,1.0,759.44,759.44
700031,500018,3122,3.0,5166.34,15499.02
700032,500018,3121,3.0,5661.58,16984.739999999998
700033,500019,3051,1.0,5842.53,5842.53
700034,500019,3001,1.0,2310.86,2310.86
700035,500019,3016,2.0,1036.64,2073.28
700036,500019,3003,1.0,4973.65,4973.65
700037,500020,3115,1.0,3842.91,3842.91
700038,500020,3121,4.0,5006.6,20026.4
700039,500021,3028,1.0,3435.75,3435.75
700040,500021,3097,1.0,2923.65,2923.65
700041,500022,3135,1.0,6177.1,6177.1
700042,500022,3061,1.0,2504.84,2504.84
700043,500023,3094,3.0,3912.0,11736.0
700044,500023,3051,5.0,6624.21,33121.05
700045,500024,3118,1.0,1215.76,1215.76
700046,500024,3006,2.0,1257.17,2514.34
700047,500025,3085,1.0,1765.02,1765.02
700048,500026,3008,2.0,6027.05,12054.1
700049,500027,3087,4.0,3685.17,14740.68
700050,500027,3117,1.0,4647.87,4647.87
700051,500027,3143,2.0,3472.59,6945.18
700052,500028,3024,1.0,2063.1,2063.1
700053,500028,3065,2.0,1527.41,3054.82
700054,500029,3006,4.0,1076.06,4304.24
700055,500029,3054,2.0,5482.72,10965.44
700056,500029,3024,1.0,2778.98,2778.98
700057,500030,3043,1.0,448.73,448.73
700058,500030,3128,1.0,4310.58,4310.58
700059,500030,3033,2.0,570.75,1141.5
700060,500031,3005,1.0,1096.04,1096.04
700061,500031,3082,3.0,4585.15,13755.449999999999
700062,500032,3015,4.0,1183.83,4735.32
700063,500033,3056,3.0,5217.06,15651.18
700064,500033,3098,1.0,2556.68,2556.68
700065,500033,3052,2.0,3890.33,7780.66
700066,500034,3001,3.0,2353.81,7061.43
700067,500035,3060,1.0,2235.67,2235.67
700068,500035,3086,2.0,2278.55,4557.1
700069,500035,3072,2.0,1102.66,2205.32
700070,500035,3017,1.0,1758.16,1758.16
700071,500036,3107,1.0,2578.34,2578.34
700072,500037,3110,1.0,751.11,751.11
700073,500037,3134,3.0,2412.04,7236.12
700074,500038,3089,5.0,4421.12,22105.6
700075,500038,3057,1.0,814.52,814.52
700076,500038,3019,2.0,2810.55,5621.1
700077,500039,3052,2.0,5174.81,10349.62
700078,500040,3079,1.0,2311.67,2311.67
700079,500040,3036,3.0,4189.47,12568.41
700080,500040,3109,3.0,1652.17,4956.51
700081,500040,3060,3.0,2205.16,6615.48
700082,500041,3033,3.0,521.36,1564.08
700083,500041,3136,4.0,1836.31,7345.24
700084,500041,3139,2.0,2688.03,5376.06
700085,500042,3042,1.0,3588.34,3588.34
700086,500042,3118,1.0,1437.22,1437.22
700087,500042,3103,2.0,2119.7,4239.4
700088,500043,3102,5.0,4507.35,22536.75
700089,500044,3001,1.0,2514.43,2514.43
700090,500044,3119,3.0,4640.33,13920.99
700091,500045,3112,5.0,1256.12,6280.599999999999
700092,500045,3083,1.0,1940.24,1940.24
700093,500046,3019,4.0,2516.97,10067.88
700094,500047,3085,2.0,1790.46,3580.92
700095,500047,3124,5.0,834.68,4173.4
700096,500047,3142,5.0,1952.95,9764.75
700097,500048,3030,3.0,431.67,1295.01
700098,500049,3048,1.0,3481.7,3481.7
700099,500050,3119,2.0,6072.04,12144.08
700100,500050,3013,3.0,5353.44,16060.32
700101,500051,3017,1.0,1801.19,1801.19
700102,500051,3130,1.0,3418.83,3418.83
700103,500052,3042,2.0,3626.39,7252.78
700104,500052,3059,2.0,512.72,1025.44
700105,500052,3049,1.0,3144.83,3144.83
700106,500052,3105,3.0,4962.24,14886.72
700107,500053,3099,2.0,400.74,801.48
700108,500054,3074,2.0,5122.4,10244.8
700109,500054,3007,4.0,679.39,2717.56
700110,500055,3095,1.0,5266.56,5266.56
700111,500055,3105,4.0,6074.09,24296.36
700112,500055,3127,1.0,5465.43,5465.43
700113,500055,3066,4.0,2939.49,11757.96
700114,500056,3141,5.0,6243.35,31216.75
700115,500057,3130,2.0,3088.66,6177.32
700116,500057,3051,2.0,4732.05,9464.1
700117,500057,3076,2.0,4008.51,8017.02
700118,500058,3101,3.0,468.16,1404.48
700119,500059,3121,1.0,5000.06,5000.06
700120,500060,3144,1.0,2093.55,2093.55
700121,500061,3138,1.0,4966.95,4966.95
700122,500061,3009,3.0,4270.3,12810.900000000001
700123,500062,3069,1.0,760.67,760.67
700124,500063,3051,1.0,6582.48,6582.48
700125,500063,3146,1.0,498.44,498.44
700126,500063,3012,5.0,5241.29,26206.45
700127,500063,3120,2.0,3442.17,6884.34
700128,500064,3017,2.0,1660.85,3321.7
700129,500064,3108,1.0,5503.93,5503.93
700130,500064,3036,2.0,4554.16,9108.32
700131,500064,3086,1.0,2311.71,2311.71
700132,500065,3017,1.0,2265.84,2265.84
700133,500066,3085,1.0,1811.95,1811.95
700134,500066,3049,4.0,2760.39,11041.56
700135,500067,3103,4.0,1738.49,6953.96
700136,500067,3092,1.0,3514.16,3514.16
700137,500067,3048,2.0,3048.15,6096.3
700138,500068,3136,2.0,2146.86,4293.72
700139,500068,3050,1.0,1195.74,1195.74
